Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present
Lafayette Pain Care PC,IN,Healthcare Provider,7500,5/9/2016,Hacking/IT Incident,Network Server,No
UnityPoint Health Affiliated Covered Entity,IA,Healthcare Provider,1620,5/11/2016,Unauthorized Access/Disclosure,Electronic Medical Record,No
Family Medicine of Weston,FL,Healthcare Provider,500,5/11/2016,Hacking/IT Incident,Electronic Medical Record,No
"Northwest Oncology & Hematology, S.C. ",IL,Healthcare Provider,1625,5/11/2016,Unauthorized Access/Disclosure,Email,No
"Medical Colleagues of Texas, LLP ",TX,Healthcare Provider,68631,5/11/2016,Hacking/IT Incident,Network Server,No
Pulaski County Special School District-Employee Benefits Division,AR,Health Plan,2602,5/12/2016,Unauthorized Access/Disclosure,Email,No
"Imperial Valley Family Care Medical Group, APC",CA,Healthcare Provider,649,5/13/2016,Theft,Laptop,No
California Correctional Health Care Services,CA,Healthcare Provider,400000,5/15/2016,Theft,Laptop,No
"Associates In EyeCare, P.S.C.",KY,Healthcare Provider,971,5/16/2016,Theft,"Laptop, Other Portable Electronic Device",No
Surgical Care Affiliates,AL,Business Associate,9009,5/16/2016,Theft,Laptop,Yes
San Juan County New Mexico,NM,Healthcare Provider,12500,5/17/2016,Hacking/IT Incident,Desktop Computer,No
Complete Chiropractic & Bodywork Therapies,MI,Healthcare Provider,4082,5/17/2016,Hacking/IT Incident,"Desktop Computer, Network Server",No
Emergency Room Associates doing business as Emergency Medicine Associates,AZ,Healthcare Provider,1067,5/19/2016,Theft,Paper/Films,No
"Tallahassee Memorial HealthCare, Inc.",FL,Healthcare Provider,505,5/20/2016,Hacking/IT Incident,Other,No
"Coordinated Health Mutual, Inc.",OH,Health Plan,591,5/20/2016,Unauthorized Access/Disclosure,Paper/Films,No
Aflac,GA,Health Plan,930,5/20/2016,Unauthorized Access/Disclosure,Paper/Films,No
Berkeley Endocrine Clinic,CA,,1370,5/24/2016,Unauthorized Access/Disclosure,Email,Yes
"Keystone Rural Health Consortia, Inc.",PA,Healthcare Provider,800,5/24/2016,Theft,"Electronic Medical Record, Paper/Films",No
Integrated Health Solutions PC,PA,Healthcare Provider,19776,5/25/2016,Hacking/IT Incident,"Electronic Medical Record, Network Server",No
California Health & Longevity Institute,CA,Healthcare Provider,4386,5/25/2016,Unauthorized Access/Disclosure,Electronic Medical Record,No
Stamford Podiatry Group .P.C,CT,Healthcare Provider,40491,5/25/2016,Hacking/IT Incident,Network Server,No
"Orchid MPS Holdings, LLC Welfare Benefit Plan",MI,Health Plan,771,5/26/2016,Unauthorized Access/Disclosure,Paper/Films,No
Washington DC VA Medical Center,DC,Healthcare Provider,1062,5/31/2016,Theft,Paper/Films,No
ENT and Allergy Center,AR,Healthcare Provider,16200,5/31/2016,Hacking/IT Incident,Network Server,No
"My Pediatrician, PA",FL,Business Associate,2500,6/1/2016,Hacking/IT Incident,Network Server,Yes
The University of New Mexico,NM,Healthcare Provider,2827,6/3/2016,Unauthorized Access/Disclosure,Paper/Films,No
The Vein Doctor,MO,Healthcare Provider,3000,6/3/2016,Hacking/IT Incident,"Electronic Medical Record, Network Server",No
Vincent Vein Center,CO,Healthcare Provider,2250,6/7/2016,Hacking/IT Incident,Electronic Medical Record,No
"Grace Primary Care, PC",TN,Healthcare Provider,6853,6/7/2016,Hacking/IT Incident,Network Server,No
Midland County Hospital District d/b/a Midland Memorial Hospital,TX,Healthcare Provider,1468,6/7/2016,Unauthorized Access/Disclosure,Paper/Films,No
"Wal-Mart Stores, Inc.",AR,Healthcare Provider,27393,6/8/2016,Unauthorized Access/Disclosure,Paper/Films,No
North Ottawa Medical Group,MI,Healthcare Provider,22000,6/9/2016,Unauthorized Access/Disclosure,Network Server,No
PruittHealth Hospice Beaufort,SC,Healthcare Provider,1437,6/9/2016,Unauthorized Access/Disclosure,Paper/Films,No
Saints Mary and Elizabeth Hospital,KY,Healthcare Provider,1682,6/10/2016,Unauthorized Access/Disclosure,Email,No
EDWARD G. MYERS D.O. INC,OH,Healthcare Provider,6441,6/10/2016,Hacking/IT Incident,Network Server,No
Riverside Health System,VA,Healthcare Provider,578,6/10/2016,Unauthorized Access/Disclosure,Paper/Films,No
Laser & Dermatologic Surgery Center ,MO,Healthcare Provider,31000,6/14/2016,Hacking/IT Incident,Network Server,No
Kern County Mental Health,CA,Health Plan,1212,6/14/2016,Improper Disposal,Paper/Films,No
Texas Health and Human Services Commission,TX,Health Plan,600,6/14/2016,Loss,Paper/Films,No
"Allergy, Asthma & Immunology of the Rockies, PC ",CO,Healthcare Provider,6851,6/17/2016,Hacking/IT Incident,Network Server,No
Midland Women's Clinic,TX,Healthcare Provider,717,6/17/2016,Unauthorized Access/Disclosure,Paper/Films,No
"Uncommon Care, P.A.",NC,Healthcare Provider,13674,6/21/2016,Hacking/IT Incident,Network Server,No
Ceaton C Falgiano,NY,Healthcare Provider,650,6/27/2016,Unauthorized Access/Disclosure,Email,No
"Linda J White, DDS, PC",VA,Healthcare Provider,2000,6/27/2016,Improper Disposal,Other Portable Electronic Device,No
Massachusetts General Hospital ,MA,Healthcare Provider,4293,6/29/2016,Hacking/IT Incident,Network Server,No
Mercy Medical Center Redding,CA,Healthcare Provider,520,6/29/2016,Unauthorized Access/Disclosure,Other,No
Planned Parenthood of the Heartland,IA,Healthcare Provider,2506,7/1/2016,Unauthorized Access/Disclosure,Paper/Films,No
The Ambulatory Surgery Center at St. Mary,PA,Healthcare Provider,13000,7/7/2016,Hacking/IT Incident,Network Server,No
"Heart Center of Southern Maryland, L.L.P.",MD,Healthcare Provider,1350,7/7/2016,Hacking/IT Incident,Electronic Medical Record,No
Dr. Q Pain and Spine d/b/a Arkansas Spine and Pain,AR,Healthcare Provider,17100,7/11/2016,Hacking/IT Incident,Network Server,No
"Health Incent, LLC",TN,Healthcare Provider,1100,7/11/2016,Hacking/IT Incident,Other,No
"Lasair Aesthetic Health, P.C.",CO,Healthcare Provider,1835,7/11/2016,Unauthorized Access/Disclosure,Email,No
Kaiser Permanente Northern California,CA,Health Plan,1136,7/12/2016,Theft,Other Portable Electronic Device,No
"Cefalu Eye-Tech of Green, Inc.",OH,Healthcare Provider,850,7/14/2016,Unauthorized Access/Disclosure,Electronic Medical Record,No
"SUNSHINE STATE HEALTH PLAN, INC.",FL,Health Plan,1479,7/14/2016,Unauthorized Access/Disclosure,Email,No
Blaine Chiropractic Center,MN,Healthcare Provider,1945,7/14/2016,Hacking/IT Incident,Network Server,No
"Lee Rice D.O., Medical Corp DBA Lifewellness Institute",CA,Healthcare Provider,2473,7/15/2016,Hacking/IT Incident,Electronic Medical Record,No
Providence Medical Group- Gateway Clinics,OR,Healthcare Provider,5978,7/15/2016,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Access Health Care Physicians, LLC",FL,Healthcare Provider,2500,7/19/2016,Theft,Paper/Films,No
Neurology Physicians LLC,MD,Healthcare Provider,4831,7/20/2016,Hacking/IT Incident,Other,No
"Premier Family Care I, Inc.",TX,Healthcare Provider,1326,7/20/2016,Unauthorized Access/Disclosure,Paper/Films,No
Brian Halevie-Goldman,CA,Healthcare Provider,2000,7/20/2016,Theft,Laptop,No
"Memorial Hermann Health System, reporting on behalf of Memorial Hermann Health System Employee Group Health Plan",TX,Health Plan,12061,7/20/2016,Unauthorized Access/Disclosure,Paper/Films,No
Sunbury Plaza Dental,OH,Business Associate,7784,7/21/2016,Theft,Paper/Films,Yes
"Ambucor Health Solutions, an unincorporated division of The ScottCare Corporation",DE,Business Associate,1679,7/22/2016,Unauthorized Access/Disclosure,"Email, Other Portable Electronic Device",Yes
"Caring for Women, PA",TX,Healthcare Provider,697,7/22/2016,Unauthorized Access/Disclosure,Email,No
"American Family Care, Inc.",AL,Healthcare Provider,7200,7/25/2016,Unauthorized Access/Disclosure,"Electronic Medical Record, Other",No
StarCare Speciality Health System,TX,Healthcare Provider,2844,7/25/2016,Theft,"Laptop, Paper/Films",No
Midwest Orthopedic Pain and Spine,MO,Healthcare Provider,29153,7/26/2016,Hacking/IT Incident,Network Server,No
"Athletes' Performance, Inc.",AZ,Healthcare Provider,854,7/28/2016,Theft,Laptop,No
"Athens Orthopedic Clinic, P.A.",GA,Healthcare Provider,201000,7/29/2016,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Jefferson Medical Associates, P.A.",MS,Healthcare Provider,10401,7/29/2016,Hacking/IT Incident,Network Server,No
Banner Health,AZ,Healthcare Provider,3620000,8/3/2016,Hacking/IT Incident,"Network Server, Other",No
The Carle Foundation,IL,Healthcare Provider,1185,8/4/2016,Unauthorized Access/Disclosure,Network Server,No
Center for Minimmally Invasive Bariatric and General Surgery,PA,Healthcare Provider,992,8/5/2016,Unauthorized Access/Disclosure,Email,No
"Prosthetic & Orthotic Care, Inc.",MO,Healthcare Provider,23015,8/7/2016,Hacking/IT Incident,Network Server,No
"Professional Dermatology Care, P.C.",VA,Healthcare Provider,13237,8/9/2016,Hacking/IT Incident,Network Server,No
"Newkirk Products, Inc.",NY,Business Associate,3466120,8/9/2016,Hacking/IT Incident,Network Server,Yes
Autism Home Support Services,IL,Healthcare Provider,533,8/10/2016,Unauthorized Access/Disclosure,Email,No
Cardiology Associates,MD,Healthcare Provider,907,8/10/2016,Unauthorized Access/Disclosure,Email,No
Rotech Healthcare Inc.,FL,Healthcare Provider,957,8/11/2016,Unauthorized Access/Disclosure,Paper/Films,No
"Valley Anesthesiology Consultants, Inc. d/b/a Valley Anesthesiology and Pain Consultants",AZ,Healthcare Provider,882590,8/12/2016,Hacking/IT Incident,Network Server,No
Bon Secours Health System Incorporated,MD,Healthcare Provider,651971,8/12/2016,Unauthorized Access/Disclosure,Network Server,No
John E. Gonzalez DDS,CA,Healthcare Provider,1025,8/14/2016,Theft,Other Portable Electronic Device,No
Phoenix Dental Care,TN,Healthcare Provider,500,8/15/2016,Theft,Paper/Films,No
New York State Office of Mental Health,NY,Healthcare Provider,21880,8/15/2016,Hacking/IT Incident,Network Server,No
"Village of Oak Park, Illinois",IL,Health Plan,688,8/18/2016,Unauthorized Access/Disclosure,Email,No
Orleans Medical Clinic,IN,Healthcare Provider,6890,8/19/2016,Hacking/IT Incident,Network Server,No
The Outer Banks Hospital,NC,Healthcare Provider,1000,8/19/2016,Loss,Other Portable Electronic Device,No
SCAN Health Plan,CA,Health Plan,87069,8/22/2016,Unauthorized Access/Disclosure,Other,No
CalOptima,CA,Health Plan,1000,8/22/2016,Unauthorized Access/Disclosure,Other Portable Electronic Device,No
"Summit Medical Group, Inc. dba St. Elizabeth Physicians ",KY,Healthcare Provider,674,8/23/2016,Unauthorized Access/Disclosure,Email,No
Planned Parenthood of Greater Washington and North Idaho,WA,Healthcare Provider,10700,8/26/2016,Unauthorized Access/Disclosure,Email,No
County of Los Angeles,CA,Healthcare Provider,743,8/30/2016,Theft,Paper/Films,No
"Howard R. Jarvis, D.M.D., L.L.C. dba Southwest Portland Dental",OR,Healthcare Provider,1980,8/30/2016,Hacking/IT Incident,Network Server,No
"Center for Neurosurgical & Spine Disorders, LLC",LA,Healthcare Provider,824,8/31/2016,Hacking/IT Incident,Desktop Computer,No
Willow Bend Dental,TX,Healthcare Provider,625,8/31/2016,Theft,Other,No
CHI Franciscan Healthcare Highline Medical Center,WA,Healthcare Provider,18399,9/1/2016,Unauthorized Access/Disclosure,Network Server,No
Santa Cruz County Health Services Agency,CA,Healthcare Provider,25000,9/2/2016,Unauthorized Access/Disclosure,Paper/Films,No
Burrell Behavioral Health,MO,Healthcare Provider,7748,9/2/2016,Unauthorized Access/Disclosure,Email,No
Medical College of Wisconsin,WI,Healthcare Provider,3179,9/2/2016,Hacking/IT Incident,Email,No
Geisinger Health Plan,PA,Health Plan,2814,9/7/2016,Unauthorized Access/Disclosure,Other,No
Decatur Health Systems ,KS,Healthcare Provider,707,9/7/2016,Theft,Paper/Films,No
"University Gastroenterology, Inc.",RI,Healthcare Provider,15478,9/8/2016,Hacking/IT Incident,Network Server,No
"Man Alive, Inc. and Lane Treatment Center, LLC",MD,Healthcare Provider,860,9/8/2016,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record",No
Public Education Employees' Health Insurance Plan,AL,Health Plan,1349,9/9/2016,Unauthorized Access/Disclosure,Network Server,No
Martin Army Community Hospital,GA,Healthcare Provider,1000,9/9/2016,Theft,Paper/Films,No
Asante,OR,Healthcare Provider,2400,9/9/2016,Unauthorized Access/Disclosure,Electronic Medical Record,No
U.S. HealthWorks,CA,Healthcare Provider,1400,9/9/2016,Theft,Laptop,No
Codman Square Health Center ,MA,Healthcare Provider,3840,9/12/2016,Unauthorized Access/Disclosure,Desktop Computer,No
"Pratap S. Kurra, M.D.",CA,Healthcare Provider,2029,9/12/2016,Loss,Paper/Films,No
King of Prussia Dental Associates,PA,Healthcare Provider,16228,9/13/2016,Hacking/IT Incident,Network Server,No
"Heritage Medical Partners, LLC",SC,Healthcare Provider,812,9/15/2016,Unauthorized Access/Disclosure,Paper/Films,No
CHI Franciscan Health St. Clare Hospital and St. Joseph Medical Center,WA,Healthcare Provider,2818,9/16/2016,Unauthorized Access/Disclosure,Electronic Medical Record,No
KidsPeace,PA,Healthcare Provider,1456,9/19/2016,Loss,Paper/Films,No
Ventura County Health Care Agency,CA,Healthcare Provider,777,9/20/2016,Unauthorized Access/Disclosure,Paper/Films,No
McLaren Greater Lansing Cardiovascular Group,MI,Healthcare Provider,1000,9/21/2016,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record, Other",No
USC Keck and Norris Hospitals,CA,Healthcare Provider,16000,9/21/2016,Hacking/IT Incident,Network Server,No
New Jersey Spine Center,NJ,Healthcare Provider,28000,9/22/2016,Hacking/IT Incident,"Electronic Medical Record, Network Server",No
Jennie Stuart Medical Center,KY,Healthcare Provider,1500,9/23/2016,Hacking/IT Incident,Network Server,No
"Hal Meadows, M.D.",CA,Healthcare Provider,6000,9/23/2016,Hacking/IT Incident,Desktop Computer,No
"Central Ohio Urology Group, Inc.",OH,Healthcare Provider,300000,9/23/2016,Hacking/IT Incident,Network Server,No
Group Health,WA,Health Plan,668,9/23/2016,Unauthorized Access/Disclosure,Paper/Films,No
Prima Medical Foundation ,CA,Healthcare Provider,2933,9/26/2016,Hacking/IT Incident,Network Server,No
Marin Healthcare District,CA,Healthcare Provider,2292,9/27/2016,Hacking/IT Incident,Network Server,No
Thomasville Eye Center,GA,Healthcare Provider,10891,9/28/2016,Unauthorized Access/Disclosure,Desktop Computer,No
San Juan Oncology Associates,NM,Healthcare Provider,500,9/29/2016,Hacking/IT Incident,Network Server,No
"Fred's Stores of Tennessee, Incorporated",TN,Healthcare Provider,9624,9/29/2016,Theft,Laptop,No
Urgent Care Clinic of Oxford,MS,Healthcare Provider,64000,9/30/2016,Hacking/IT Incident,Network Server,No
University of Wisconsin Hospitals and Clinics Authority,WI,Healthcare Provider,6923,9/30/2016,Unauthorized Access/Disclosure,Paper/Films,No
Rainbow Children's Clinic,TX,Healthcare Provider,33698,10/3/2016,Hacking/IT Incident,Network Server,No
"Francisco Jaume, D.O.",AZ,Healthcare Provider,14236,10/4/2016,Hacking/IT Incident,Network Server,No
Apria Healthcare,CA,Healthcare Provider,1987,10/4/2016,Unauthorized Access/Disclosure,Email,No
Baxter Regional Medical Center - Home Health Facility,AR,Healthcare Provider,2124,10/5/2016,Unauthorized Access/Disclosure,Other,No
"Genesis Physical Therapy, Inc.",CA,Healthcare Provider,2245,10/7/2016,Unauthorized Access/Disclosure,Electronic Medical Record,No
Northwest Community Healthcare,IL,Healthcare Provider,540,10/7/2016,Unauthorized Access/Disclosure,Other Portable Electronic Device,No
Warren Clinic,OK,Healthcare Provider,2938,10/7/2016,Hacking/IT Incident,Network Server,No
Baxter Healthcare,IL,Healthcare Provider,992,10/10/2016,Unauthorized Access/Disclosure,Email,No
Peabody Retirement Community,IN,Healthcare Provider,1466,10/14/2016,Hacking/IT Incident,"Email, Network Server",No
"Gibson Insurance Agency, Inc.",IN,Business Associate,7242,10/14/2016,Theft,Laptop,Yes
